# action	Zellij mapping and constraints	Herdr mapping and constraints
menu:open	Muxe menu state; no portable Zellij Action. Separately, `muxe menu/pane open --host zellij` is source-proven to use the origin-client typed bridge for `NewTiledPane` (all four directions) or `NewFloatingPane` overlay with an exact argv/CWD vector and forced menu focus; no transient tab or live-host proof	Broker UI control; no Herdr RPC
menu:return	Muxe menu state; no Zellij Action or shim equivalent	Broker UI control; no Herdr RPC
menu:quit	Muxe menu state; no Zellij Action or shim equivalent	Broker UI control; no Herdr RPC
menu.page:prev	Muxe menu state; no Zellij Action or shim equivalent	Broker UI control; no Herdr RPC
menu.page:next	Muxe menu state; no Zellij Action or shim equivalent	Broker UI control; no Herdr RPC
config:reload	Broker configuration control; no Zellij RPC	Broker configuration control; no Herdr RPC
keyboard:send	Origin-targeted `WriteCharsToPaneId`/`WriteToPaneId`; finite bridge encoding supports text/C0/ESC-meta/VT100/CSI modifiers and rejects super/hyper/keypad/media/F13+ precisely	`pane.send_keys` or `pane.send_text` to the captured origin pane; keys/text must be strings
command:execute	Broker-owned supervised local process; no Zellij RPC	Broker-owned supervised local process; no Herdr RPC
tab:create	`NewTab` accepts `name`, `focus`, and exact `program`/`args`/`cwd`; `workspace-id` is rejected because Zellij has no workspaces. Focused creation waits for UI dismissal before bridge dispatch.	Without `program`, `tab.create` accepts `workspace-id`, `name` as `label`, `focus`, and `cwd`. Command tabs use `layout.apply`. Focused creation waits for the UI pane's retained `pane_closed` event.
tab:close	`Action::CloseTab` or `close_focused_tab`; current focused tab only	`tab.close` on the captured origin tab
tab:rename	Name plus captured origin tab index maps to `RenameTab`; bare rename is rejected because Zellij has no prompt variant	`tab.rename` on the captured origin tab only when `name` is supplied; bare rename is incompatible
tab:focus	Partial: `GoToTab`, `GoToNextTab`, and `GoToPreviousTab`; only index and next/previous	Pending runtime candidate: resolve the requested target through captured-workspace `tab.list` before host focus; source mapping is not implemented
tab:move	Direction maps to `MoveTab` (accepts left, right, up, down); index is rejected because Zellij exposes no index destination primitive	`tab.move` accepts a concrete insert index on the captured origin tab; directional moves are rejected
tab:swap	Rejected: no atomic pinned primitive swaps two tabs	Nonnegative index only: list captured workspace, make two direct moves, and verify ordering; partial failure has no replay and a lost move response is OutcomeUnknown
pane:create	`Action::NewPane` or `new_pane`; placement is host-determined in the focused tab	Incompatible; Herdr protocol 20 provides no automatic placement primitive
pane:split	`NewTiledPane` accepts direction and exact `program`/`args`/`cwd`. Focused creation waits for UI dismissal before bridge dispatch; `focus: false` is rejected because Zellij cannot target the immutable origin while the menu is open.	Only explicit `right` or `down` directions are supported. Without `program`, `pane.split` also accepts `focus` and `cwd`. Command splits validate the origin with `session.snapshot`, then use `layout.apply` and `pane.move`. Focused creation waits for the UI pane's retained `pane_closed` event.
pane:close	`CloseFocusByPaneId` on the captured origin pane	`pane.close` on the captured origin pane
pane:focus	Direction uses bridge-tracked geometry and index uses bridge manifest order; neither falls back to menu-relative focus	`pane.focus_direction` on the captured origin pane for cardinal directions (left, right, up, down); indexed focus is rejected
pane:move	Direction maps to `MovePaneByPaneId` on the captured origin pane; index is rejected because no primitive exists	Incompatible: Herdr `pane.move` requires an explicit destination tab or new-tab container, not a portable index or direction
pane:swap	Rejected: no pinned primitive swaps two panes	`pane.swap(origin_pane_id, direction)` only for cardinal directions (left, right, up, down); indexed swap is rejected
pane:resize	`ResizeByPaneId` on the captured origin pane; omitted amount increases, explicit amount is rejected	`pane.resize(origin_pane_id, direction, optional numeric amount)` only for left/right/up/down
pane:zoom	Bare action maps to `ToggleFocusFullscreenByPaneId`; explicit boolean is rejected	`pane.zoom(origin_pane_id, mode toggle/on/off)`; boolean or omitted input
pane:fullscreen	Bare action maps to `ToggleFocusNoUiFullscreenByPaneId`; explicit boolean is rejected	Incompatible; no protocol-20 method
pane:floating	Bare action maps to `TogglePaneEmbedOrFloatingByPaneId`; explicit boolean is rejected	Incompatible; no protocol-20 method
pane:frame	Rejected: `TogglePaneFrames` is menu-relative, not origin-pane targeted	Incompatible; no protocol-20 method
session:create	No one-to-one plugin API	Incompatible; only read-only `session.snapshot` exists
session:attach	`switch_session(Some(name))` maps through active client session context	Incompatible; only read-only `session.snapshot` exists
session:switch	`switch_session(Some(name))` changes client session context	Incompatible; only read-only `session.snapshot` exists
session:rename	`RenameSession` with name for current session context	Incompatible; only read-only `session.snapshot` exists
session:detach	`Detach` disconnects active client	Incompatible; only read-only `session.snapshot` exists
session:quit	Rejected: `quit_zellij()` terminates the server, not one portable session	Incompatible; only read-only `session.snapshot` exists
session:kill	`kill_sessions([captured origin session])`, distinct from server quit	Incompatible; only read-only `session.snapshot` exists
